sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
BeanShell Sampler,4,20,20,23,23,23,19,23,0.00%,.9,.0,1.50
Login Page Load,1004,10,4,5,6,27,2,1677,0.00%,1.0,2.4,84.27
Login Submit,1004,191,36,83,211,5364,25,9568,0.00%,1.0,3.4,903.89
Favourite Project,13900,19,4,15,36,141,3,9703,0.00%,4.6,1.9,232.57
Inbox ,182680,11,6,19,39,66,4,3712,0.00%,60.8,310.9,37.64
View Defect,11204,22,15,23,31,110,11,4466,0.00%,3.7,567.8,99.75
Open Defect for create,2452,24,17,23,29,50,14,4690,0.00%,.8,29.4,131.04
View Comments,8171,4,3,4,5,14,0,2190,0.07%,2.7,7.2,31.89
Add Comments,6793,3,3,4,5,18,2,1666,0.00%,2.3,5.7,20.53
Add attachment,1571,94,9,15,57,4194,4,10697,0.00%,.5,1.5,715.05
View Defect Workflow ,2567,85,77,92,117,218,69,1761,0.00%,.9,9.8,54.39
View Org Dashboard Page,159,208,174,237,444,673,143,1302,0.00%,.1,.7,133.48
Modify Defect WorkFlow,2634,113,57,165,228,761,8,8636,0.00%,.9,3.9,428.09
Route Defect,4854,55,32,61,112,389,11,7868,0.56%,1.6,1.3,267.15
View Project Dashboard Page,1444,26,23,33,42,66,18,447,0.00%,.5,5.7,18.12
View Defect List,605,51,24,63,265,335,13,1258,0.00%,.2,.5,92.75
View Document List,272,34,16,43,74,299,10,1564,0.00%,.1,.1,105.49
View Version List,1080,16,6,9,25,258,4,2016,0.00%,.4,1.6,84.61
Create Defect ,2409,45,22,62,111,365,18,5615,0.00%,.8,3.0,196.45
View Traceability,3165,20,18,24,32,60,15,1558,0.00%,1.1,5.8,31.17
Add Traceability,1874,37,27,40,70,163,16,8370,0.00%,.6,1.8,199.89
View Org ECR Listing,36,67,8,15,58,1982,6,1982,0.00%,.0,.0,323.96
View ORG ECR EForm,36,15,11,17,21,70,10,70,0.00%,.0,.3,11.95
Project Item status dashboard,1112,24,18,27,37,60,14,2059,0.00%,.4,2.9,73.33
View Org ECR Report,36,2081,1997,2243,2631,3832,1693,3832,0.00%,.0,8.9,385.98
Open WorkPackage for create,355,31,12,25,37,541,10,1427,0.00%,.1,2.7,121.21
Open Standard Issue for create,416,45,13,40,56,472,11,7368,0.00%,.1,4.6,368.37
Create WorkPackage ,355,95,26,89,172,1656,6,5590,0.00%,.1,.1,396.39
Open Document for create,263,25,18,24,29,64,15,1279,0.00%,.1,3.1,78.74
View Action Item,285,55,11,39,72,323,9,6216,0.00%,.1,11.9,391.97
Create Document ,263,50,22,69,133,417,19,2097,0.00%,.1,.3,157.34
Modify Action Item,284,89,45,143,208,448,40,6644,0.00%,.1,.1,396.49
View Document,263,19,16,22,30,54,13,319,0.00%,.1,14.2,19.91
Open Risk for create,172,79,14,54,78,1578,12,2464,0.00%,.1,2.0,299.27
Search Item to trace,2758,39,0,44,74,466,0,17632,0.00%,.9,1.6,500.42
Create Standard Issue ,291,42,20,70,117,424,17,1217,0.00%,.1,.4,106.43
View Standard Issue,478,17,12,19,38,148,0,395,1.26%,.2,21.7,32.31
View Timesheet under Approval List,301,75,54,105,125,218,17,1970,0.00%,.1,.9,157.11
Modify Defect,3068,80,45,119,190,447,5,7775,0.00%,1.1,.7,280.47
View Timesheet for Eform Instance,4364,94,81,96,117,325,66,12310,0.00%,1.5,10.6,210.35
Close Defect,1588,30,17,35,70,161,14,7309,0.00%,.5,.3,185.75
View Test Unit List,415,27,22,30,47,152,13,489,0.00%,.1,.3,32.18
Open Test Unit for create,2262,15,14,16,21,55,11,810,0.00%,.8,25.7,19.57
Save Timesheet for Eform Instance,4358,32,17,31,66,175,9,9317,0.00%,1.5,.7,222.59
Create Risk ,168,106,24,84,146,469,21,7893,0.00%,.1,.2,642.83
View Risk,139,16,15,20,28,35,13,40,0.00%,.0,6.9,4.40
View Risk Workflow ,139,78,74,82,99,150,71,160,0.00%,.0,.5,12.72
Modify Risk Workflow,139,109,64,209,322,786,59,1090,0.00%,.0,.2,139.57
View Standard Issue List,101,116,18,145,300,852,11,6440,0.00%,.0,.0,641.43
View WorkPackage List,71,58,13,36,218,613,8,1693,0.00%,.0,.0,212.59
Open Search Screen for Invite,141,28,21,27,30,393,17,488,0.00%,.0,.7,50.06
Search Resource For Invite,141,57,27,35,43,1741,15,2215,0.00%,.0,.5,234.15
View ECR EForm List,223,42,18,76,81,112,7,610,0.00%,.1,.1,50.00
Create Test Unit ,2220,34,21,47,92,193,17,4348,0.00%,.8,2.8,107.85
View Test Unit,2219,14,11,17,25,48,9,1770,0.00%,.8,103.7,42.23
View WorkPackage,68,13,15,18,21,50,0,55,8.82%,.0,1.8,8.86
Open Linked Task on WorkPackage,68,397,168,1039,1727,1872,0,4640,8.82%,.0,.2,698.11
View Weekly Timesheet,2562,182,131,199,272,622,101,17355,0.00%,.9,6.8,548.07
View Task,8819,38,23,60,96,175,16,3229,0.00%,3.1,432.9,75.60
View ECR EForm,223,40,17,75,77,115,8,138,0.00%,.1,9.3,32.78
View ECR Report,223,142,58,74,100,171,50,12087,0.00%,.1,1.0,891.83
Generate ECR,119,35,35,39,44,138,5,147,0.00%,.0,.5,18.32
View Team Member Allocation Report,139,26,27,32,38,43,16,52,0.00%,.0,.5,5.60
Invite New Team Member,139,241,75,412,1429,3015,4,3234,0.00%,.0,.1,560.80
Checkout STaRT Plan,68,10,6,13,44,58,5,97,0.00%,.0,.0,14.53
Checkin STaRT Plan,68,32,21,49,95,116,7,432,0.00%,.0,.0,53.22
Filter Team List,137,5285,3204,12302,19550,20421,87,21250,0.00%,.0,.0,5581.76
View Team Eform,108,136,126,163,188,314,14,344,0.00%,.0,1.1,36.19
Filter Defect List,134,80,29,231,529,588,12,696,0.00%,.0,.1,144.75
Reopen Defect Popup,134,35,6,117,141,214,5,1752,0.00%,.0,.2,155.46
Delete Team Member,108,410,186,262,377,573,44,22164,0.00%,.0,.0,2104.21
Reopen Defect,134,99,27,301,357,462,19,506,0.00%,.0,.2,118.69
Approve Timesheet,85,1372,143,3198,7407,22455,8,22755,0.00%,.0,.0,3777.45
Save Timesheet,317,21,18,28,52,87,10,114,0.00%,.1,.1,14.13
Route Timesheet,317,29,17,33,80,180,3,1560,0.00%,.1,.1,90.27
User Search,26,206,174,277,349,372,163,372,0.00%,.0,.0,57.51
Open User EForm,26,177,129,180,514,819,75,819,0.00%,.0,.5,151.72
View Risk List,36,63,33,180,210,313,10,313,0.00%,.0,.0,78.57
View Team List,31,6228,3238,19241,19869,20499,120,20499,0.00%,.0,.0,6433.35
View Report List,4,73,19,128,128,128,18,128,0.00%,.0,.0,54.75
View Resource Plan List,15,22,13,28,28,94,8,94,0.00%,.0,.0,20.79
View Resource Plan,39,24,12,18,60,398,0,398,7.69%,.0,1.1,64.35
View Timesheet Report,4,106,42,186,186,186,15,186,0.00%,.0,.0,78.83
View User EForm List,7,149,169,176,202,202,81,202,0.00%,.0,.0,43.76
Modify Resource Plan,19,60,45,55,197,440,7,440,0.00%,.0,.0,98.81
TOTAL,293483,26,7,44,74,169,0,22755,0.02%,97.2,1601.4,257.93
